Date,Indian rupee
1-Jan-79,57.76
2-Jan-79,57.64
3-Jan-79,57.94
4-Jan-79,58.25
5-Jan-79,59.27
8-Jan-79,59.2
9-Jan-79,58.59
10-Jan-79,57.98
11-Jan-79,58.34
12-Jan-79,57.31
15-Jan-79,57.29
16-Jan-79,57.76
17-Jan-79,59.22
18-Jan-79,59.86
19-Jan-79,62.4
22-Jan-79,60.67
23-Jan-79,60.94
24-Jan-79,61.93
25-Jan-79,62.3
26-Jan-79,62.03
29-Jan-79,60.67
30-Jan-79,61.78
31-Jan-79,59.18
1-Feb-79,61.96
2-Feb-79,61.32
5-Feb-79,63.4
6-Feb-79,64.2
7-Feb-79,65.3
8-Feb-79,66.91
9-Feb-79,64.33
12-Feb-79,65.79
13-Feb-79,64.32
14-Feb-79,62.59
15-Feb-79,64.57
16-Feb-79,64.84
19-Feb-79,65.83
20-Feb-79,65.34
21-Feb-79,65.56
22-Feb-79,66
23-Feb-79,65.65
26-Feb-79,65.41
27-Feb-79,64.71
28-Feb-79,64.68
1-Mar-79,65.07
2-Mar-79,64.96
5-Mar-79,63.4
6-Mar-79,62.41
7-Mar-79,62.82
8-Mar-79,61.72
9-Mar-79,62.31
12-Mar-79,62.36
13-Mar-79,63.12
14-Mar-79,63.33
15-Mar-79,63.34
16-Mar-79,63.43
19-Mar-79,64.84
20-Mar-79,64.03
21-Mar-79,63.58
22-Mar-79,64.24
23-Mar-79,63.9
26-Mar-79,63.98
27-Mar-79,64.5
28-Mar-79,63.94
29-Mar-79,63.21
30-Mar-79,62.38
2-Apr-79,62.63
3-Apr-79,62.46
4-Apr-79,62.4
5-Apr-79,62.36
6-Apr-79,61.82
9-Apr-79,62.94
10-Apr-79,62.57
11-Apr-79,62.89
12-Apr-79,61.65
13-Apr-79,61.65
16-Apr-79,61.65
17-Apr-79,61.01
18-Apr-79,62.1
19-Apr-79,63.67
20-Apr-79,63.2
23-Apr-79,62.82
24-Apr-79,63.73
25-Apr-79,64.97
26-Apr-79,65.11
27-Apr-79,64.84
30-Apr-79,64.72
1-May-79,65.74
2-May-79,65.46
3-May-79,64.93
4-May-79,65.41
7-May-79,65.41
8-May-79,66.42
9-May-79,65.57
10-May-79,67.41
11-May-79,67.62
14-May-79,67.2
15-May-79,66.44
16-May-79,67.22
17-May-79,67.75
18-May-79,68.01
21-May-79,69.09
22-May-79,70.13
23-May-79,69.27
24-May-79,69.3
25-May-79,71.24
28-May-79,71.24
29-May-79,72.66
30-May-79,71.65
31-May-79,72.45
1-Jun-79,72.17
4-Jun-79,71.23
5-Jun-79,71.73
6-Jun-79,73.23
7-Jun-79,73.17
8-Jun-79,72.76
11-Jun-79,73.88
12-Jun-79,72.15
13-Jun-79,71
14-Jun-79,71.98
15-Jun-79,72.59
18-Jun-79,72.76
19-Jun-79,71.98
20-Jun-79,72.05
21-Jun-79,71.79
22-Jun-79,73.12
25-Jun-79,73.17
26-Jun-79,72.76
27-Jun-79,72.4
28-Jun-79,72.04
29-Jun-79,70.43
2-Jul-79,72.43
3-Jul-79,71.05
4-Jul-79,70.71
5-Jul-79,71.41
6-Jul-79,72.6
9-Jul-79,74.87
10-Jul-79,74.18
11-Jul-79,73.97
12-Jul-79,74.17
13-Jul-79,73.58
16-Jul-79,73.86
17-Jul-79,74.19
18-Jul-79,75.83
19-Jul-79,75.37
20-Jul-79,75.67
23-Jul-79,76.04
24-Jul-79,75.96
25-Jul-79,75.2
26-Jul-79,74.94
27-Jul-79,76.11
30-Jul-79,75.86
31-Jul-79,75.69
1-Aug-79,73.87
2-Aug-79,74.44
3-Aug-79,73.24
6-Aug-79,73.89
7-Aug-79,73.39
8-Aug-79,74.66
9-Aug-79,75.44
10-Aug-79,77.68
13-Aug-79,78.36
14-Aug-79,75.64
15-Aug-79,77.48
16-Aug-79,76.89
17-Aug-79,77.6
20-Aug-79,77.55
21-Aug-79,77.86
22-Aug-79,80.9
23-Aug-79,80.19
24-Aug-79,81.18
27-Aug-79,81.18
28-Aug-79,80.99
29-Aug-79,80.28
30-Aug-79,81.73
31-Aug-79,81.27
3-Sep-79,81.83
4-Sep-79,83.4
5-Sep-79,84.53
6-Sep-79,87.37
7-Sep-79,84.79
10-Sep-79,86.31
11-Sep-79,87.08
12-Sep-79,87.39
13-Sep-79,87.54
14-Sep-79,90.08
17-Sep-79,92.45
18-Sep-79,97.74
19-Sep-79,99.35
20-Sep-79,98.48
21-Sep-79,97.76
24-Sep-79,99.35
25-Sep-79,98.77
26-Sep-79,96.07
27-Sep-79,99.4
28-Sep-79,102.57
1-Oct-79,103.53
2-Oct-79,113.5
3-Oct-79,109.06
4-Oct-79,102.62
5-Oct-79,95.86
8-Oct-79,99.59
9-Oct-79,99.09
10-Oct-79,106.83
11-Oct-79,104.7
12-Oct-79,101.69
15-Oct-79,105.73
16-Oct-79,104.89
17-Oct-79,102.06
18-Oct-79,100.54
19-Oct-79,102.18
22-Oct-79,105
23-Oct-79,103.83
24-Oct-79,103.21
25-Oct-79,103.7
26-Oct-79,99.81
29-Oct-79,100.01
30-Oct-79,100.76
31-Oct-79,101.04
1-Nov-79,101.23
2-Nov-79,99.73
5-Nov-79,100.85
6-Nov-79,102.61
7-Nov-79,103.53
8-Nov-79,104.53
9-Nov-79,103.53
12-Nov-79,103.42
13-Nov-79,102.24
14-Nov-79,101.21
15-Nov-79,99.7
16-Nov-79,98.77
19-Nov-79,100.85
20-Nov-79,101.29
21-Nov-79,103.04
22-Nov-79,102.55
23-Nov-79,101.84
26-Nov-79,101.98
27-Nov-79,102.2
28-Nov-79,104.51
29-Nov-79,105.66
30-Nov-79,106.43
3-Dec-79,109.06
4-Dec-79,113.17
5-Dec-79,111.66
6-Dec-79,112.95
7-Dec-79,112.93
10-Dec-79,113.21
11-Dec-79,115.21
12-Dec-79,117.31
13-Dec-79,119.01
14-Dec-79,119.41
17-Dec-79,120.23
18-Dec-79,123.21
19-Dec-79,128.22
20-Dec-79,124.2
21-Dec-79,123.43
24-Dec-79,123.19
25-Dec-79,123.19
26-Dec-79,123.19
27-Dec-79,129.69
28-Dec-79,132.03
31-Dec-79,134.7
1-Jan-80,134.7
2-Jan-80,142.71
3-Jan-80,161.49
4-Jan-80,152.47
7-Jan-80,160.27
8-Jan-80,156.02
9-Jan-80,152.6
10-Jan-80,155.37
11-Jan-80,155.97
14-Jan-80,164.42
15-Jan-80,173.16
16-Jan-80,195.05
17-Jan-80,184.93
18-Jan-80,208.86
21-Jan-80,215.73
22-Jan-80,195.3
23-Jan-80,166.12
24-Jan-80,182.01
25-Jan-80,177.9
28-Jan-80,162.88
29-Jan-80,174.65
30-Jan-80,180.58
31-Jan-80,171.35
1-Feb-80,173.14
4-Feb-80,171.39
5-Feb-80,168.59
6-Feb-80,175.78
7-Feb-80,178.76
8-Feb-80,175.02
11-Feb-80,181.22
12-Feb-80,179
13-Feb-80,176.03
14-Feb-80,173.8
15-Feb-80,172.08
18-Feb-80,169.12
19-Feb-80,170.17
20-Feb-80,160.13
21-Feb-80,165.2
22-Feb-80,165.19
25-Feb-80,160.53
26-Feb-80,163.71
27-Feb-80,161.47
28-Feb-80,163.89
29-Feb-80,165.19
3-Mar-80,165.88
4-Mar-80,165.16
5-Mar-80,167.2
6-Mar-80,165.38
7-Mar-80,157.32
10-Mar-80,157.83
11-Mar-80,148.41
12-Mar-80,151.42
13-Mar-80,150.06
14-Mar-80,131.62
17-Mar-80,126.46
18-Mar-80,123.59
19-Mar-80,134.44
20-Mar-80,146.4
21-Mar-80,140.43
24-Mar-80,142.78
25-Mar-80,143.86
26-Mar-80,137.38
27-Mar-80,127.8
28-Mar-80,128.94
31-Mar-80,133.6
1-Apr-80,136.3
2-Apr-80,130.69
3-Apr-80,129.8
4-Apr-80,129.8
7-Apr-80,129.8
