Date,Indian rupee
31-Jan-79,59.18
28-Feb-79,64.68
30-Mar-79,62.38
30-Apr-79,64.72
31-May-79,72.45
29-Jun-79,70.43
31-Jul-79,75.69
31-Aug-79,81.27
28-Sep-79,102.57
31-Oct-79,101.04
30-Nov-79,106.43
31-Dec-79,134.70
31-Jan-80,171.35
29-Feb-80,165.19
31-Mar-80,133.60
30-Apr-80,133.59
30-May-80,133.50
30-Jun-80,165.59
31-Jul-80,154.75
29-Aug-80,157.65
30-Sep-80,167.55
31-Oct-80,157.90
28-Nov-80,156.64
31-Dec-80,148.55
30-Jan-81,132.56
27-Feb-81,131.27
31-Mar-81,136.34
30-Apr-81,128.55
29-May-81,130.10
30-Jun-81,119.08
31-Jul-81,117.51
31-Aug-81,122.82
30-Sep-81,124.44
30-Oct-81,124.63
30-Nov-81,122.66
31-Dec-81,116.55
29-Jan-82,114.01
26-Feb-82,108.47
31-Mar-82,96.05
30-Apr-82,106.81
31-May-82,98.78
30-Jun-82,95.55
30-Jul-82,104.98
31-Aug-82,126.46
30-Sep-82,122.97
29-Oct-82,132.09
30-Nov-82,132.71
31-Dec-82,138.89
31-Jan-83,160.87
28-Feb-83,134.94
31-Mar-83,131.96
29-Apr-83,137.81
31-May-83,141.20
30-Jun-83,134.51
29-Jul-83,137.96
31-Aug-83,135.67
30-Sep-83,132.57
31-Oct-83,126.14
30-Nov-83,135.63
30-Dec-83,128.44
31-Jan-84,128.68
29-Feb-84,135.68
30-Mar-84,134.04
30-Apr-84,131.63
31-May-84,135.62
29-Jun-84,134.33
31-Jul-84,126.03
31-Aug-84,128.86
28-Sep-84,133.10
31-Oct-84,129.15
30-Nov-84,129.12
31-Dec-84,123.01
31-Jan-85,123.29
28-Feb-85,121.63
29-Mar-85,128.65
30-Apr-85,128.43
31-May-85,124.01
28-Jun-85,124.57
31-Jul-85,125.43
30-Aug-85,127.77
30-Sep-85,123.02
31-Oct-85,125.38
29-Nov-85,124.14
31-Dec-85,126.05
31-Jan-86,139.18
28-Feb-86,134.15
31-Mar-86,134.15
30-Apr-86,135.23
30-May-86,140.33
